,departure_airport_int,arriving_airport_int,departure_time_float,airline_int,date_year,date_month,date_day,date_dow,duration_hours,numStops,price_min_day,price_min,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
10,0,78,6.0,2,23,6,9,4,1,0,13,278,430,430,430,430,430,430,404,404,358,404,308,308,308,278,278,278.0,278.0,308.0,308.0,308.0,308.0,308.0,308.0,308.0,409.0,369.0,409.0,369.0,369.0,347.0,369.0,347.0,347.0,347.0,347.0,347.0,347.0,342.0,364.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0
11,0,78,18.417,2,23,6,9,4,1,0,20,261,430,430,430,430,430,430,404,404,358,358,308,308,308,278,278,278.0,278.0,278.0,278.0,278.0,261.0,261.0,261.0,261.0,261.0,347.0,347.0,261.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,347.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0,342.0
12,0,78,20.283,5,23,6,9,4,3,1,20,271,440,440,440,440,440,440,318,318,318,419,318,318,318,288,288,288.0,288.0,288.0,288.0,288.0,271.0,271.0,271.0,271.0,271.0,357.0,357.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,235,5.583,2,23,6,9,4,1,0,37,290,400,400,400,400,400,400,369,369,369,369,369,369,369,317,317,317.0,317.0,322.0,322.0,322.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,,,,,,,,,,,,
14,0,235,7.833,2,23,6,9,4,1,0,37,290,400,400,400,400,400,400,369,369,369,369,369,369,369,317,317,317.0,317.0,322.0,322.0,322.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,
15,0,235,10.917,2,23,6,9,4,1,0,37,290,400,400,400,400,400,400,369,369,369,369,369,459,459,317,317,317.0,317.0,322.0,322.0,322.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
16,0,303,6.75,14,23,6,9,4,1,0,13,162,250,250,250,250,250,250,236,236,236,236,236,236,236,162,162,162.0,174.0,180.0,162.0,173.0,203.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,258.0,272.0,261.0,261.0,261.0,272.0,283.0,277.0,272.0,272.0,271.0,271.0,272.0,255.0,255.0,255.0,254.0,254.0,254.0,254.0,272.0,272.0,272.0,272.0,272.0,272.0,271.0,272.0,272.0,272.0,272.0,272.0
17,0,303,18.967,14,23,6,9,4,1,0,20,151,250,250,250,250,250,250,236,236,236,236,236,236,236,162,162,162.0,162.0,162.0,162.0,162.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,166.0,166.0,166.0,165.0,166.0,165.0,189.0,189.0,189.0,204.0,,,,,,,,,,,,,,
18,0,303,13.483,14,23,6,9,4,2,0,6,236,289,272,271,250,250,250,236,262,273,273,273,273,273,359,359,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,207,8.2,14,23,6,9,4,6,1,0,392,392,392,392,558,623,655,632,693,565,558,565,558,558,633,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
